endTime,artistName,trackName,msPlayed,genre
2024-09-06 22:20,Lana Del Rey,Diet Mountain Dew,222920,female vocalists
2024-09-06 22:23,Laufey,Valentine,168906,jazz
2024-09-06 22:34,Lana Del Rey,Ultraviolence,151964,female vocalists
2024-09-06 22:37,Djo,End of Beginning,159245,psychedelic pop
2024-09-06 22:41,Sixpence None The Richer,Kiss Me,236174,pop
2024-09-06 22:45,The Neighbourhood,Nervous,245000,indie
2024-09-06 23:01,Chase Atlantic,Numb to the Feeling,227586,rnb
2024-09-06 23:05,Chase Atlantic,Church,220000,rnb
2024-09-06 23:33,The Neighbourhood,Compass,2970,indie
2024-09-06 23:33,Cigarettes After Sex,Falling In Love,2410,dream pop
2024-09-06 23:33,Cigarettes After Sex,Pure,191233,dream pop
2024-09-06 23:36,Arctic Monkeys,Stop The World I Wanna Get Off With You,191040,indie
2024-09-06 23:59,Chase Atlantic,HEAVEN AND BACK,258330,rnb
2024-09-07 06:11,Billie Eilish,BIRDS OF A FEATHER,210373,pop
2024-09-07 06:11,Lana Del Rey,Young And Beautiful,4038,female vocalists
2024-09-08 04:04,Hello Ga-Young,"Did you wake up? (one and only romance X Hello Ga-Young, WONPIL(DAY6))",199146,k-ballad
2024-09-08 23:16,Taylor Swift,Enchanted,3562,country
2024-09-08 23:16,King Gnu,Prayer X,59169,j-pop
2024-09-08 23:21,Arctic Monkeys,505,253586,indie
2024-09-08 23:24,The Neighbourhood,Scary Love,222666,indie
2024-09-08 23:37,The Neighbourhood,Flawless,246493,indie
2024-09-08 23:37,Lady Gaga,Die With A Smile,233,art pop
2024-09-10 19:31,Lady Gaga,Die With A Smile,251439,art pop
2024-09-10 19:35,The Neighbourhood,Sweater Weather,240400,indie
2024-09-10 19:43,The Neighbourhood,Reflections,244013,indie
2024-09-10 19:48,The Neighbourhood,Prey,282640,indie
2024-09-10 19:52,Chase Atlantic,Swim,228786,rnb
2024-09-10 19:56,Cigarettes After Sex,Sunsetz,215150,dream pop
2024-09-10 20:15,Chase Atlantic,OHMAMI,226835,rnb
2024-09-10 20:19,The Neighbourhood,Afraid,251186,indie
2024-09-10 20:23,Chase Atlantic,Right Here,235000,rnb
2024-09-10 20:27,The Neighbourhood,Daddy Issues,260173,indie
2024-09-10 20:30,Cigarettes After Sex,Cry,12200,dream pop
2024-09-10 20:30,Cigarettes After Sex,Stop Waiting,149065,dream pop
2024-09-10 20:33,The Neighbourhood,Compass,167960,indie
2024-09-10 20:40,Chase Atlantic,Tidal Wave,243670,rnb
2024-09-10 20:46,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123,indie
2024-09-10 20:49,Arctic Monkeys,Stop The World I Wanna Get Off With You,191040,indie
2024-09-10 20:53,The Neighbourhood,Void,203666,indie
2024-09-10 20:57,Chase Atlantic,Drugs & Money - New Mix,239921,rnb
2024-09-10 21:01,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,rnb
2024-09-10 21:04,Chase Atlantic,HER,169720,rnb
2024-09-10 21:09,Cigarettes After Sex,Kiss It Off Me,269933,dream pop
2024-09-10 21:12,Chase Atlantic,Okay,212306,rnb
2024-09-10 21:16,Chase Atlantic,HEAVEN AND BACK,248240,rnb
2024-09-10 21:21,The Neighbourhood,Baby Came Home,226880,indie
2024-09-10 22:26,Cigarettes After Sex,K.,320030,dream pop
2024-09-10 22:27,Cigarettes After Sex,Starry Eyes,71922,dream pop
2024-09-10 22:41,Chase Atlantic,Paradise,256453,rnb
2024-09-10 22:49,Cigarettes After Sex,Falling In Love,11016,dream pop
2024-09-10 22:54,beabadoobee,A Night To Remember,233388,bedroom pop
2024-09-10 23:01,Melanie Martinez,Teacher's Pet,3479,pop
2024-09-10 23:01,Sabrina Carpenter,Feather,185552,pop
2024-09-10 23:02,Taylor Swift,I Knew You Were Trouble (Taylor's Version),6090,country
2024-09-10 23:02,Taylor Swift,The Man,1110,country
2024-09-10 23:02,Sabrina Carpenter,Looking at Me,29450,pop
2024-09-10 23:06,Taylor Swift,Speak Now,240760,country
